,Assoc -> Assoc,Assoc -> Asst,Assoc -> Full,Assoc -> Gone,Asst -> Assoc,Asst -> Asst,Asst -> Full,Asst -> Gone,Full -> Assoc,Full -> Asst,Full -> Full,Full -> Gone,New -> Assoc,New -> Asst,New -> Full,New -> Gone
New -> Asst,0.0,0.0,0.0,0.0,0.0,0.0112359550562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943820224719,0.0,0.0449438202247
New -> Assoc,0.235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529411764706,0.0588235294118,0.0,0.176470588235
New -> Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230769230769,0.0,0.0384615384615,0.0,0.461538461538,0.269230769231
New -> Gone,,,,,,,,,,,,,,,,
Asst -> Asst,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asst -> Assoc,0.0,0.0,0.0,0.0,0.914285714286,0.0,0.0857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asst -> Full,0.0,0.0,0.0,0.0,0.5,0.166666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asst -> Gone,0.0,0.0,0.0,0.0,0.333333333333,0.166666666667,0.0833333333333,0.416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assoc -> Asst,0.333333333333,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assoc -> Assoc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assoc -> Full,0.0188679245283,0.0,0.981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assoc -> Gone,0.444444444444,0.0,0.133333333333,0.422222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full -> Asst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Full -> Assoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0
Full -> Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987341772152,0.0126582278481,0.0,0.0,0.0,0.0
Full -> Gone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692307692308,0.307692307692,0.0,0.0,0.0,0.0
